 NO. , NAMA VIHARA , MANDARIN , GPS ,,, ALAMAT , DESCRIPTION 
, KULOR ,   Shui De Gong (Fu Lu) , E 109º  , 01' 31 ," 03"" ", RT 10/04 Kelurahan Pajintan ,
8, VIHARA FAB LIN KIUNG / FAB CHIN KUNG , 法灵宮/法清公公(福律) , N  00º  , 53' 12 ," 26"" ", Jl. Raya Kulor Gg. Pak Ikal ,
, KULOR ,   Fa Ling Gong / Fa Qing Gong Gong ( Fu Lu) , E 109º  , 01' 29 ," 40"" ", RT 14/04 Kelurahan Pajintan ,
9, VIHARA TRIDHARMA BUMI RAYA , 大伯公宮(福律) , N  00º  , 53' 15 ," 47"" ", Jl. Raya Kulor ,
, KULOR ,   Da Bo Gong Gong (Fu Lu) , E 109º  , 01' 05 ," 29"" ", RT 13/04 Kelurahan Pajintan ,
10, CETIYA NG KAU CU KUNG KIUNG , 五教祖公宮(行尾) , N  00º  , 51' 57 ," 26"" ", Jl. Raya Sanggau Kulor Gg. Budi Daya 1 ,
, HANGMUI ,   Wu Jiao Zu Gong Gong (Hang Wei) , E 109º  , 01' 14 ," 93"" ", RT 19/06 Kelurahan Pajintan ,
11, VIHARA SAM BONG KIUNG , 三王宮(行尾) , N  00º  , 51' 53 ," 10"" ", Jl. Hangmui ,
, HANGMUI ,   San Wang Gong (Hang Wei) , E 109º  , 01' 33 ," 97"" ", RT 18/06 Kelurahan Pajintan ,
12, VIHARA FA KONG TI , 华光帝宮(行尾) , N  00º  , 52' 07 ," 22"" "," Jl. Fa Kong Ti, Hangmui ",
, HANGMUI ,   Hua Guang Di Gong (Hang Wei) , E 109º  , 01' 42 ," 37"" ", RT 20/06 Kelurahan Pajintan ,
13, VIHARA THIAN SHI KIUNG / SHI KUNG , 天师宮/师公(行尾) , N  00º  , 51' 38 ," 39"" "," Jl. Fa Kong Ti, Hangmui ",
, HANGMUI ,   Tian Shi Gong / Shi Gong (Hang Wei) , E 109º  , 01' 59 ," 53"" ", RT 20/06 Kelurahan Pajintan ,
14, CETIYA THIAN FAB NG THAI LIN CIONG , 天法五大灵將坛(行尾) , N  00º  , 52' 32 ," 42"" ", Jl. Raya Hangmui  ,
, HANGMUI ,   Tian Fa Wu Da Ling Jiang Tan (Hang Wei) , E 109º  , 01' 35 ," 23"" ", RT 17/06 Kelurahan Pajintan ,
15, VIHARA THAI SHIN KIUNG , 大圣宮(卢万山) , N  00º  , 53' 16 ," 98"" ", Jl. Robansan ,
, GUNUNG ROBAN ,   Da Sheng Gong (Hang Wei) , E 109º  , 00' 53 ," 27"" ", RT 13/04 Kelurahan Pajintan ,
16, CETIYA SI THAI KIM KONG , 四大金剛坛(新喃) , N  00º  , 52' 31 ," 46"" ", Jl. Raya Sanggau Kulor Gg. Kuburan ,
, SINNAM-SANGGAU KULOR ,   Si Da Jin Gang Tan (Xin Nan) , E 108º  , 59' 37 ," 03"" ", RT 01/01 Kelurahan Sanggau Kulor ,
17, CETIYA THAI SONG LO KIUN , 大上老君坛(上候福律) , N  00º  , 52' 30 ," 00"" ", Jl. Raya Sanggau Kulor ,
, SANGGAU KULOR ,   Da Shang Lao Jun Tan (Shang Hou Fu Lu) , E 108º  , 59' 45 ," 39"" ", RT 01/01 Kelurahan Sanggau Kulor ,
18, CETIYA THI CU PAK KUNG , 地主大伯坛(上候福律) , N  00º  , 52' 24 ," 84"" ", Jl. Raya Sanggau Kulor Gg. Kuburan ,
, SANGGAU KULOR ,   Di Zhu Da Bo Gong Tan (Shang Hou Fu Lu) , E 108º  , 59' 40 ," 44"" ", RT 01/01 Kelurahan Sanggau Kulor ,
19, CETIYA THAI PAK KUNG , 大伯公坛(上候福律) , N  00º  , 52' 17 ," 36"" ", Jl. Raya Sanggau Kulor ,
, SANGGAU KULOR ,   Da Bo Gong Tan (Shang Hou Fu Lu) , E 108º  , 59' 41 ," 37"" ", RT 01/01 Kelurahan Sanggau Kulor ,
20, CETIYA THAI PAK KUNG KUNG , 大伯公公坛(新路) , N  00º  , 52' 50 ," 87"" ", Jl. Baru Gg. Karet ,
, JALAN BARU ,   Da Bo Gong Gong Tan (Xin Lu) , E 109º  , 00' 04 ," 14"" ", RT 03/01 Kelurahan Sanggau Kulor ,
